SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2018-05-09,9.0,14.0,58.0,11.0,58.0,Vasco
2018-05-11,6.0,9.0,34.0,11.0,34.0,Vasco
2018-05-16,8.0,14.0,50.0,11.0,50.0,Vasco
2018-05-18,10.0,20.0,31.0,11.0,31.0,Vasco
2018-05-23,7.0,9.0,70.0,11.0,70.0,Vasco
2018-05-25,8.0,10.0,88.0,11.0,88.0,Vasco
2018-05-30,4.0,18.0,56.0,11.0,56.0,Vasco
2018-06-10,4.0,14.0,42.0,11.0,42.0,Vasco
2018-06-06,9.0,12.0,17.0,11.0,17.0,Vasco
2018-06-08,9.0,19.0,17.0,11.0,24.0,Vasco
2018-06-13,9.0,21.0,75.0,11.0,75.0,Vasco
2018-06-15,5.0,14.0,249.0,11.0,199.0,Vasco
2018-06-22,9.0,14.0,96.0,11.0,96.0,Vasco
2018-06-27,14.0,12.0,95.0,11.0,95.0,Vasco
2018-06-29,8.0,13.0,47.0,11.0,47.0,Vasco
2018-07-03,9.0,14.0,51.0,11.0,69.0,Vasco
2018-07-05,9.0,14.0,92.0,11.0,92.0,Vasco
2018-07-10,9.0,9.0,31.0,11.0,31.0,Vasco
2018-07-12,9.0,14.0,39.0,11.0,39.0,Vasco
2018-07-17,9.0,14.0,58.0,11.0,58.0,Vasco
2018-07-19,9.0,9.0,60.0,11.0,60.0,Vasco
2018-07-24,8.0,14.0,71.0,11.0,71.0,Vasco
2018-07-26,4.0,9.0,70.0,11.0,70.0,Vasco
2018-07-31,9.0,14.0,37.0,11.0,37.0,Vasco
2018-08-02,8.0,14.0,31.0,11.0,31.0,Vasco
2018-08-07,9.0,14.0,38.0,11.0,38.0,Vasco
2018-08-09,9.0,14.0,35.0,11.0,35.0,Vasco
2018-08-14,9.0,14.0,44.0,11.0,44.0,Vasco
2018-08-21,4.0,9.0,55.0,11.0,55.0,Vasco
2018-08-23,8.0,15.0,36.0,11.0,36.0,Vasco
2018-08-30,9.0,14.0,19.0,11.0,19.0,Vasco
2018-09-04,9.0,14.0,71.0,11.0,71.0,Vasco
2018-09-06,9.0,14.0,102.0,11.0,102.0,Vasco
2018-09-11,9.0,11.0,19.0,11.0,19.0,Vasco
2018-09-19,9.0,14.0,49.0,11.0,49.0,Vasco
2018-09-21,9.0,17.0,48.0,11.0,48.0,Vasco
2018-09-25,9.0,9.0,117.0,11.0,117.0,Vasco
2018-09-27,9.0,10.0,105.0,11.0,105.0,Vasco
2018-10-04,9.0,13.0,45.0,11.0,45.0,Vasco
2018-10-09,9.0,17.0,34.0,11.0,34.0,Vasco
,9.0,13.0,49.0,11.0,49.0,Vasco
,9.0,10.0,59.0,11.0,59.0,Vasco
,9.0,15.0,88.0,11.0,88.0,Vasco
,9.0,17.0,39.0,11.0,39.0,Vasco
,9.0,14.0,63.0,11.0,63.0,Vasco
2018-11-02,9.0,13.0,41.0,11.0,41.0,Vasco
2018-11-05,4.0,14.0,27.0,11.0,27.0,Vasco
2018-11-08,9.0,14.0,100.0,11.0,100.0,Vasco
2018-11-14,9.0,17.0,159.0,11.0,139.0,Vasco
2018-11-16,9.0,21.0,112.0,11.0,108.0,Vasco
2018-11-20,5.0,12.0,25.0,11.0,25.0,Vasco
2018-11-22,6.0,26.0,50.0,11.0,50.0,Vasco
2018-11-27,7.0,12.0,150.0,98.0,133.0,Vasco
2018-11-29,7.0,14.0,155.0,97.0,137.0,Vasco
2018-12-04,6.0,21.0,187.0,11.0,158.0,Vasco
2018-12-06,6.0,12.0,221.0,11.0,180.0,Vasco
2018-12-11,7.0,13.0,59.0,77.0,59.0,Vasco
2018-12-13,7.0,14.0,53.0,64.0,53.0,Vasco
2018-12-18,8.0,14.0,41.0,24.0,41.0,Vasco
2018-12-20,9.0,14.0,78.0,15.0,78.0,Vasco
2018-12-27,9.0,14.0,304.0,64.0,254.0,Vasco
2018-12-29,9.0,14.0,180.0,44.0,153.0,Vasco
2019-01-01,9.0,16.0,169.0,44.0,146.0,Vasco
2019-01-03,9.0,19.0,46.0,9.0,46.0,Vasco
2019-01-08,9.0,13.0,222.0,105.0,181.0,Vasco
2019-01-10,9.0,15.0,116.0,53.0,111.0,Vasco
2019-01-15,9.0,11.0,208.0,43.0,172.0,Vasco
2019-01-17,9.0,16.0,123.0,41.0,116.0,Vasco
2019-01-22,6.0,29.0,31.0,14.0,31.0,Vasco
2019-01-24,8.0,24.0,28.0,11.0,28.0,Vasco
2019-01-29,5.0,9.0,112.0,11.0,108.0,Vasco
2019-01-31,9.0,14.0,44.0,11.0,44.0,Vasco
2019-02-05,9.0,9.0,249.0,11.0,199.0,Vasco
2019-02-07,9.0,9.0,126.0,11.0,118.0,Vasco
2019-02-13,9.0,18.0,116.0,11.0,111.0,Vasco
2019-02-15,9.0,14.0,84.0,41.0,84.0,Vasco
2019-02-18,10.0,26.0,96.0,86.0,96.0,Vasco
2019-02-21,5.0,14.0,98.0,59.0,98.0,Vasco
2019-02-25,9.0,19.0,109.0,35.0,106.0,Vasco
2019-02-27,9.0,14.0,126.0,35.0,118.0,Vasco
2019-03-05,9.0,20.0,148.0,114.0,132.0,Vasco
2019-03-07,9.0,14.0,124.0,58.0,116.0,Vasco
2019-03-11,5.0,14.0,181.0,8.0,154.0,Vasco
2019-03-13,7.0,11.0,263.0,43.0,213.0,Vasco
2019-03-20,7.0,9.0,52.0,36.0,52.0,Vasco
2019-03-22,7.0,13.0,215.0,11.0,176.0,Vasco
2019-03-27,8.0,9.0,77.0,69.0,77.0,Vasco
2019-03-29,3.0,14.0,50.0,48.0,50.0,Vasco
2020-04-01,57.0,52.0,2.0,14.0,87.0,Vasco
2020-04-03,54.0,41.0,2.0,7.0,68.0,Vasco
2020-04-06,19.0,15.0,2.0,5.0,25.0,Vasco
2020-04-08,59.0,15.0,2.0,5.0,59.0,Vasco
2020-04-15,59.0,13.0,2.0,5.0,59.0,Vasco
2020-04-17,37.0,23.0,2.0,5.0,38.0,Vasco
2020-04-22,31.0,22.0,2.0,5.0,37.0,Vasco
2020-04-24,45.0,24.0,3.0,5.0,45.0,Vasco
2020-04-28,38.0,11.0,2.0,5.0,38.0,Vasco
2020-04-30,57.0,8.0,2.0,5.0,57.0,Vasco
2020-05-06,35.0,10.0,2.0,5.0,35.0,Vasco
2020-05-08,34.0,8.0,2.0,5.0,34.0,Vasco
2020-05-13,41.0,13.0,2.0,5.0,41.0,Vasco
,56.0,51.0,2.0,5.0,85.0,Vasco
,55.0,22.0,2.0,8.0,55.0,Vasco
,44.0,2.0,2.0,5.0,44.0,Vasco
,72.0,4.0,2.0,5.0,72.0,Vasco
,66.0,8.0,2.0,5.0,66.0,Vasco
2020-06-05,142.0,14.0,2.0,5.0,128.0,Vasco
2020-09-02,51.0,14.0,2.0,5.0,51.0,Vasco
2020-09-04,48.0,14.0,2.0,9.0,48.0,Vasco
2020-09-09,27.0,14.0,2.0,5.0,27.0,Vasco
,43.0,14.0,2.0,5.0,43.0,Vasco
,21.0,14.0,2.0,5.0,21.0,Vasco
,57.0,14.0,2.0,5.0,57.0,Vasco
2020-10-01,39.0,14.0,2.0,5.0,39.0,Vasco
2020-10-07,25.0,7.0,2.0,5.0,25.0,Vasco
2020-10-09,25.0,14.0,2.0,11.0,25.0,Vasco
2020-10-14,28.0,14.0,2.0,5.0,28.0,Vasco
2020-10-16,25.0,14.0,2.0,5.0,25.0,Vasco
2020-10-21,25.0,14.0,2.0,5.0,25.0,Vasco
2020-10-23,30.0,14.0,2.0,5.0,30.0,Vasco
2020-10-28,35.0,14.0,2.0,5.0,35.0,Vasco
2020-10-30,21.0,14.0,2.0,5.0,21.0,Vasco
2020-11-04,40.0,14.0,2.0,4.5,40.0,Vasco
2020-11-06,44.0,14.0,2.0,4.5,44.0,Vasco
2020-11-11,77.0,14.0,2.0,4.5,77.0,Vasco
2020-11-13,19.0,14.0,2.0,4.5,19.0,Vasco
2020-11-18,28.0,14.0,2.0,4.5,28.0,Vasco
2020-11-20,50.0,14.0,2.0,4.5,50.0,Vasco
2020-11-25,76.0,14.0,2.0,11.0,76.0,Vasco
2020-11-27,54.0,14.0,2.0,11.0,54.0,Vasco
2020-12-01,47.0,14.0,2.0,5.0,47.0,Vasco
2020-12-04,66.0,14.0,2.0,11.0,66.0,Vasco
2020-12-09,59.0,14.0,9.0,5.0,59.0,Vasco
2020-12-11,30.0,14.0,2.0,9.0,30.0,Vasco
2020-12-16,62.0,14.0,2.0,10.0,62.0,Vasco
2020-12-18,106.0,14.0,2.0,12.0,104.0,Vasco
2020-12-22,61.0,14.0,2.0,10.0,61.0,Vasco
,58.0,14.0,2.0,11.0,58.0,Vasco
2020-12-30,98.0,14.0,2.0,11.0,98.0,Vasco
2021-01-01,69.0,14.0,2.0,12.0,69.0,Vasco
2021-01-06,46.0,14.0,2.0,11.0,46.0,Vasco
2021-01-08,41.0,14.0,2.0,13.0,41.0,Vasco
2021-01-13,69.0,63.0,2.0,12.0,110.0,Vasco
2021-01-15,75.0,42.0,2.0,13.0,75.0,Vasco
2021-01-20,78.0,56.0,2.0,12.0,93.0,Vasco
2021-01-22,78.0,85.0,2.0,13.0,183.0,Vasco
2021-01-27,115.0,82.0,2.0,10.0,173.0,Vasco
2021-01-29,100.0,91.0,2.0,11.0,203.0,Vasco
2021-02-03,67.0,37.0,2.0,5.0,67.0,Vasco
2021-02-05,99.0,57.0,2.0,12.0,99.0,Vasco
2021-02-10,76.0,36.0,2.0,15.0,76.0,Vasco
2021-12-12,117.0,60.0,2.0,24.0,111.0,Vasco
2021-02-17,111.0,65.0,2.0,22.0,117.0,Vasco
2021-02-19,69.0,74.0,2.0,21.0,147.0,Vasco
2021-02-24,78.0,21.0,2.0,16.0,78.0,Vasco
2021-02-26,83.0,21.0,2.0,23.0,83.0,Vasco
2021-03-03,69.0,10.0,2.0,22.0,69.0,Vasco
2021-03-05,88.0,25.0,2.0,11.0,88.0,Vasco
2021-03-10,66.0,9.0,2.0,22.0,66.0,Vasco
2021-03-12,73.0,45.0,2.0,20.0,75.0,Vasco
2021-03-17,72.0,12.0,2.0,27.0,72.0,Vasco
2021-03-19,125.0,46.0,2.0,21.0,117.0,Vasco
2021-03-24,71.0,45.0,2.0,11.0,75.0,Vasco
2021-03-26,89.0,66.0,12.0,25.0,120.0,Vasco
2021-03-30,59.0,45.0,2.0,26.0,75.0,Vasco
